beds,baths,sq_feet,cats,dogs,postal_code,type_Apartment,type_Basement,type_Condo Unit,type_House,price
2,2.5,1403.0,1,1,156,0.0,0.0,0.0,0.0,2495.0
3,2.5,1496.0,1,1,156,0.0,0.0,0.0,0.0,2695.0
2,2.5,1180.0,1,1,156,0.0,0.0,0.0,0.0,2295.0
2,2.5,1403.0,1,1,156,0.0,0.0,0.0,0.0,2095.0
2,2.5,1351.0,1,1,156,0.0,0.0,0.0,0.0,2495.0
0,1.0,361.0,1,1,156,1.0,0.0,0.0,0.0,2390.0
1,1.0,525.0,1,1,156,1.0,0.0,0.0,0.0,3615.0
2,1.0,810.0,1,1,156,1.0,0.0,0.0,0.0,4520.0
0,1.0,265.0,1,1,156,1.0,0.0,0.0,0.0,1930.0
2,1.0,997.0,0,0,156,0.0,0.0,0.0,0.0,1700.0
3,2.5,1371.060606060606,0,1,156,0.0,0.0,0.0,1.0,2550.0
5,2.0,1371.060606060606,1,0,156,0.0,0.0,0.0,1.0,3150.0
3,2.5,1371.060606060606,0,0,156,0.0,0.0,0.0,1.0,3195.0
2,1.0,900.0,0,0,156,0.0,1.0,0.0,0.0,1500.0
3,2.5,1600.0,1,1,156,0.0,0.0,0.0,0.0,2300.0
1,1.0,602.0,0,0,156,1.0,0.0,0.0,0.0,2000.0
2,2.0,886.0,0,0,156,1.0,0.0,0.0,0.0,2225.0
3,1.5,1086.0,1,1,156,0.0,0.0,0.0,0.0,2300.0
2,2.5,1265.0,1,1,156,0.0,0.0,0.0,0.0,2099.0
1,1.0,667.0,1,1,156,1.0,0.0,0.0,0.0,1680.0
1,1.0,669.0,1,1,156,1.0,0.0,0.0,0.0,1685.0
1,1.0,680.0,1,1,156,1.0,0.0,0.0,0.0,1645.0
2,2.0,939.0,1,1,156,1.0,0.0,0.0,0.0,1910.0
2,2.0,1056.0,1,1,156,1.0,0.0,0.0,0.0,2145.0
2,2.0,983.0,1,1,156,1.0,0.0,0.0,0.0,1950.0
2,2.0,984.0,1,1,156,1.0,0.0,0.0,0.0,1960.0
1,1.0,650.0,1,1,156,1.0,0.0,0.0,0.0,1720.0
5,3.5,2700.0,0,1,156,0.0,0.0,0.0,1.0,3500.0
3,2.5,1341.0,0,0,156,0.0,0.0,0.0,0.0,2400.0
2,2.5,1470.0,1,0,156,0.0,0.0,0.0,0.0,2400.0
1,1.0,1371.060606060606,0,0,156,0.0,1.0,0.0,0.0,1250.0
2,1.0,757.0,0,0,156,0.0,1.0,0.0,0.0,1700.0
3,2.5,1371.060606060606,1,1,156,0.0,0.0,0.0,1.0,2600.0
3,2.5,1575.0,0,0,156,0.0,0.0,0.0,0.0,2675.0
3,2.5,1488.0,0,0,17,0.0,0.0,0.0,0.0,2700.0
3,2.5,2100.0,0,0,156,0.0,0.0,0.0,1.0,2800.0
2,1.0,900.0,0,0,156,0.0,1.0,0.0,0.0,1550.0
3,2.5,2100.0,0,0,156,0.0,0.0,0.0,1.0,2800.0
3,2.5,1400.0,0,0,156,0.0,0.0,0.0,0.0,2400.0
4,3.5,1371.060606060606,0,0,156,0.0,0.0,0.0,1.0,2750.0
0,0.0,1371.060606060606,1,1,156,0.0,0.0,0.0,0.0,600.0
3,2.5,1608.0,0,0,17,0.0,0.0,0.0,0.0,2600.0
2,1.0,1000.0,0,0,156,0.0,1.0,0.0,0.0,1600.0
3,1.5,1018.0,1,1,156,0.0,0.0,0.0,0.0,2395.0
2,1.0,792.0,1,1,17,1.0,0.0,0.0,0.0,1737.0
3,2.5,1371.060606060606,0,0,156,0.0,0.0,0.0,1.0,2600.0
2,2.0,1371.060606060606,0,0,156,1.0,0.0,0.0,0.0,2000.0
1,1.0,1371.060606060606,0,0,156,1.0,0.0,0.0,0.0,1600.0
1,1.0,1371.060606060606,0,0,156,1.0,0.0,0.0,0.0,1230.0
2,1.5,1371.060606060606,0,0,156,1.0,0.0,0.0,0.0,2000.0
2,1.0,1371.060606060606,0,0,156,0.0,0.0,1.0,0.0,1800.0
3,2.5,1726.0,1,1,156,0.0,0.0,0.0,0.0,2800.0
3,2.5,1704.0,1,1,156,0.0,0.0,0.0,0.0,2675.0
2,2.5,1382.0,1,1,156,0.0,0.0,0.0,0.0,2475.0
4,2.5,2300.0,0,0,156,0.0,0.0,0.0,1.0,3000.0
3,2.5,1300.0,1,1,17,0.0,0.0,0.0,0.0,2450.0
1,1.0,1750.0,0,0,156,0.0,0.0,0.0,0.0,800.0
2,1.0,700.0,0,0,156,0.0,1.0,0.0,0.0,1750.0
1,1.0,1371.060606060606,0,0,156,0.0,1.0,0.0,0.0,1250.0
2,2.5,1250.0,1,1,156,0.0,0.0,0.0,0.0,2300.0
1,1.0,700.0,1,1,156,0.0,0.0,0.0,1.0,2100.0
1,1.0,550.0,0,0,156,0.0,1.0,0.0,0.0,1300.0
3,2.5,1500.0,1,1,156,0.0,0.0,0.0,0.0,2500.0
2,1.0,900.0,0,0,156,0.0,1.0,0.0,0.0,3800.0
1,1.0,2500.0,0,0,17,0.0,0.0,0.0,0.0,850.0
2,1.0,677.0,0,0,156,0.0,0.0,1.0,0.0,1950.0
3,2.5,1515.0,0,0,156,0.0,0.0,0.0,0.0,2600.0
3,2.5,1371.060606060606,0,0,156,0.0,0.0,0.0,0.0,2500.0
3,2.5,2000.0,0,0,156,0.0,0.0,0.0,1.0,3000.0
1,1.0,1371.060606060606,0,0,156,0.0,0.0,0.0,0.0,780.0
1,1.0,1600.0,0,0,156,0.0,0.0,0.0,0.0,700.0
1,1.0,1371.060606060606,0,0,156,0.0,0.0,0.0,0.0,850.0
1,1.0,616.0,1,1,156,1.0,0.0,0.0,0.0,1630.0
1,1.0,616.0,1,1,156,1.0,0.0,0.0,0.0,1630.0
2,2.0,971.0,1,1,156,1.0,0.0,0.0,0.0,2090.0
1,1.0,654.0,1,1,156,1.0,0.0,0.0,0.0,1735.0
1,1.0,616.0,1,1,156,1.0,0.0,0.0,0.0,1710.0
1,1.0,711.0,1,1,156,1.0,0.0,0.0,0.0,1840.0
2,2.0,906.0,1,1,156,1.0,0.0,0.0,0.0,1955.0
1,1.0,616.0,1,1,156,1.0,0.0,0.0,0.0,1670.0
3,2.5,1361.0,0,0,156,0.0,0.0,0.0,0.0,2550.0
1,1.0,1371.060606060606,0,0,156,0.0,1.0,0.0,0.0,900.0
4,4.0,2328.0,1,1,156,0.0,0.0,0.0,1.0,4000.0
3,2.0,1500.0,0,0,156,0.0,0.0,0.0,1.0,2450.0
2,1.0,870.0,1,1,17,1.0,0.0,0.0,0.0,2048.0
2,2.0,974.0,1,1,17,1.0,0.0,0.0,0.0,2138.0
3,2.5,1350.0,0,0,156,0.0,0.0,0.0,0.0,2200.0
4,3.0,1371.060606060606,0,0,156,0.0,0.0,0.0,1.0,3000.0
2,1.5,1038.0,1,1,156,0.0,0.0,0.0,0.0,2350.0
2,1.0,1250.0,0,0,17,0.0,1.0,0.0,0.0,1675.0
3,2.5,1500.0,1,1,156,0.0,0.0,0.0,0.0,2400.0
3,2.5,1371.060606060606,1,1,17,0.0,0.0,0.0,0.0,2500.0
3,2.5,1400.0,0,1,156,0.0,0.0,0.0,0.0,2250.0
4,3.5,2193.0,0,0,156,0.0,0.0,0.0,1.0,3150.0
1,1.0,1371.060606060606,1,1,156,1.0,0.0,0.0,0.0,1600.0
3,3.0,1650.0,1,1,156,0.0,0.0,0.0,0.0,2675.0
2,2.0,996.0,0,0,156,0.0,0.0,1.0,0.0,1900.0
2,1.0,955.0,1,1,156,1.0,0.0,0.0,0.0,1759.0
2,1.0,955.0,1,1,156,1.0,0.0,0.0,0.0,1859.0
2,1.0,900.0,0,0,17,0.0,1.0,0.0,0.0,1600.0
3,2.0,1100.0,1,1,17,0.0,0.0,0.0,0.0,1910.0
3,2.5,1316.0,0,0,17,0.0,0.0,0.0,1.0,2500.0
3,2.5,1600.0,1,1,156,0.0,0.0,0.0,0.0,2600.0
2,2.5,1265.0,0,0,156,0.0,0.0,0.0,0.0,2150.0
3,2.5,2504.0,1,1,156,0.0,0.0,0.0,0.0,3000.0
4,3.0,2500.0,1,0,156,0.0,0.0,0.0,1.0,2900.0
3,2.5,1800.0,0,0,156,0.0,0.0,0.0,0.0,2600.0
3,2.5,1329.0,0,0,156,0.0,0.0,0.0,0.0,2500.0
1,1.0,1600.0,0,0,156,0.0,0.0,0.0,0.0,1500.0
3,2.5,1800.0,0,0,156,0.0,0.0,0.0,1.0,2500.0
1,1.0,725.0,0,0,156,0.0,1.0,0.0,0.0,1600.0
3,1.5,1300.0,1,1,156,0.0,0.0,0.0,0.0,2200.0
3,2.5,1458.0,1,1,156,0.0,0.0,0.0,0.0,2500.0
2,2.5,1265.0,0,0,156,0.0,0.0,0.0,0.0,2300.0
2,1.5,1000.0,0,0,156,0.0,1.0,0.0,0.0,1800.0
3,2.5,1560.0,0,0,156,0.0,0.0,0.0,1.0,2600.0
1,1.0,1371.060606060606,0,0,17,0.0,0.0,0.0,0.0,850.0
2,2.0,1371.060606060606,1,0,156,0.0,0.0,1.0,0.0,1950.0
2,2.5,1500.0,1,1,156,0.0,0.0,0.0,0.0,2400.0
3,1.5,1150.0,1,1,17,0.0,0.0,0.0,0.0,1895.0
1,1.0,900.0,0,0,156,0.0,1.0,0.0,0.0,1500.0
2,1.5,1100.0,1,1,156,0.0,0.0,0.0,0.0,1995.0
3,2.5,2088.0,0,0,156,0.0,0.0,0.0,1.0,3500.0
3,2.5,2200.0,0,0,156,0.0,0.0,0.0,1.0,5500.0
2,2.0,960.0,1,1,156,0.0,0.0,1.0,0.0,2095.0
2,2.0,907.0,0,0,156,1.0,0.0,0.0,0.0,1800.0
1,2.0,1079.0,0,0,156,0.0,0.0,0.0,0.0,1850.0
1,1.0,648.0,0,0,156,1.0,0.0,0.0,0.0,1600.0
3,2.0,1520.0,0,1,19,0.0,0.0,0.0,0.0,3050.0
0,0.0,1371.060606060606,1,1,19,0.0,0.0,0.0,0.0,3000.0
3,1.0,1150.0,1,1,19,0.0,0.0,0.0,1.0,1950.0
2,2.5,1536.0,1,1,17,0.0,0.0,0.0,0.0,2395.0
2,1.0,1371.060606060606,0,1,17,0.0,1.0,0.0,0.0,1850.0
3,2.5,1477.0,1,1,15,0.0,0.0,0.0,1.0,2000.0
1,1.0,700.0,0,0,15,0.0,1.0,0.0,0.0,1500.0
3,2.5,1371.060606060606,0,0,15,0.0,0.0,0.0,1.0,2200.0
3,2.5,1700.0,0,0,15,0.0,0.0,0.0,1.0,2195.0
1,1.0,596.0,1,1,15,1.0,0.0,0.0,0.0,1850.0
2,2.0,938.0,1,1,15,1.0,0.0,0.0,0.0,1818.0
1,1.0,576.0,1,1,15,1.0,0.0,0.0,0.0,1588.0
3,2.5,1477.0,1,1,15,0.0,0.0,0.0,0.0,2250.0
1,1.0,1371.060606060606,1,1,15,0.0,0.0,0.0,0.0,1075.0
3,1.5,1236.0,1,1,15,0.0,0.0,0.0,0.0,1998.0
2,2.5,1300.0,0,1,15,0.0,0.0,0.0,0.0,1965.0
3,2.5,1400.0,1,1,15,0.0,0.0,0.0,0.0,2100.0
3,2.5,1400.0,0,1,15,0.0,0.0,0.0,0.0,1950.0
3,2.5,1400.0,0,0,15,0.0,0.0,0.0,1.0,1800.0
1,1.0,750.0,1,1,9,1.0,0.0,0.0,0.0,950.0
2,1.0,850.0,1,1,9,1.0,0.0,0.0,0.0,1150.0
1,1.0,1371.060606060606,0,0,19,1.0,0.0,0.0,0.0,1150.0
1,1.0,780.0,0,0,9,0.0,1.0,0.0,0.0,1400.0
3,2.0,1272.0,1,1,9,0.0,0.0,0.0,1.0,2470.0
2,1.0,0.0,1,1,21,1.0,0.0,0.0,0.0,875.0
1,1.0,0.0,1,1,21,1.0,0.0,0.0,0.0,1035.0
2,1.0,0.0,1,1,21,1.0,0.0,0.0,0.0,1005.0
2,1.0,772.0,1,1,21,1.0,0.0,0.0,0.0,1130.0
0,1.0,0.0,1,1,21,1.0,0.0,0.0,0.0,855.0
2,1.0,739.0,1,1,21,1.0,0.0,0.0,0.0,1205.0
2,1.0,739.0,1,1,21,1.0,0.0,0.0,0.0,1155.0
2,1.0,0.0,1,1,21,1.0,0.0,0.0,0.0,1030.0
2,1.0,0.0,1,1,21,1.0,0.0,0.0,0.0,1255.0
2,1.0,0.0,1,1,21,1.0,0.0,0.0,0.0,1130.0
0,1.0,0.0,1,1,21,1.0,0.0,0.0,0.0,855.0
2,1.0,0.0,1,1,21,1.0,0.0,0.0,0.0,1005.0
2,1.0,739.0,1,1,21,1.0,0.0,0.0,0.0,1130.0
2,1.0,733.0,1,1,21,1.0,0.0,0.0,0.0,1155.0
0,1.0,0.0,1,1,21,1.0,0.0,0.0,0.0,930.0
1,1.0,0.0,1,1,21,1.0,0.0,0.0,0.0,1612.0
2,1.0,0.0,1,1,21,1.0,0.0,0.0,0.0,1650.0
2,1.0,0.0,1,1,21,1.0,0.0,0.0,0.0,1155.0
2,1.0,830.0,1,1,21,1.0,0.0,0.0,0.0,1120.0
2,2.0,948.0,0,0,21,1.0,0.0,0.0,0.0,1395.0
3,2.0,1267.0,0,0,21,1.0,0.0,0.0,0.0,1595.0
2,1.0,779.0,1,1,21,1.0,0.0,0.0,0.0,1780.0
2,1.0,902.0,1,1,21,0.0,0.0,0.0,0.0,2090.0
2,1.0,771.0,1,1,21,1.0,0.0,0.0,0.0,1775.0
1,1.0,520.0,1,1,21,1.0,0.0,0.0,0.0,1550.0
1,1.0,520.0,1,1,21,1.0,0.0,0.0,0.0,1425.0
1,1.0,560.0,1,1,21,1.0,0.0,0.0,0.0,1385.0
2,1.0,770.0,1,1,21,1.0,0.0,0.0,0.0,1625.0
1,1.0,560.0,1,1,21,1.0,0.0,0.0,0.0,1511.0
2,1.0,800.0,1,1,21,1.0,0.0,0.0,0.0,1715.0
2,1.0,800.0,1,1,21,1.0,0.0,0.0,0.0,1590.0
2,1.0,800.0,1,1,21,1.0,0.0,0.0,0.0,1765.0
1,1.0,580.0,1,1,21,1.0,0.0,0.0,0.0,1425.0
1,1.0,510.0,1,1,21,1.0,0.0,0.0,0.0,1490.0
1,1.0,510.0,1,1,21,1.0,0.0,0.0,0.0,1365.0
2,1.0,800.0,1,1,21,1.0,0.0,0.0,0.0,1620.0
2,1.0,791.0,1,1,21,1.0,0.0,0.0,0.0,1650.0
1,1.0,625.0,1,1,21,1.0,0.0,0.0,0.0,1635.0
1,1.0,550.0,1,1,21,1.0,0.0,0.0,0.0,1375.0
1,1.0,550.0,1,1,21,1.0,0.0,0.0,0.0,1500.0
2,1.0,1371.060606060606,0,0,21,0.0,0.0,0.0,0.0,1600.0
2,1.0,932.0,0,0,21,1.0,0.0,0.0,0.0,1975.0
2,2.0,800.0,1,1,2,0.0,0.0,1.0,0.0,1450.0
3,2.5,1371.060606060606,0,0,2,0.0,0.0,0.0,1.0,2200.0
1,1.0,483.0,1,1,329,1.0,0.0,0.0,0.0,1725.0
1,1.0,527.0,1,1,329,1.0,0.0,0.0,0.0,1875.0
2,2.0,854.0,1,1,329,1.0,0.0,0.0,0.0,2400.0
2,2.0,815.0,1,1,277,1.0,0.0,0.0,0.0,2800.0
2,2.0,873.0,1,1,277,1.0,0.0,0.0,0.0,2925.0
2,2.0,969.0,1,1,277,1.0,0.0,0.0,0.0,3250.0
1,1.0,591.0,1,1,277,1.0,0.0,0.0,0.0,2050.0
2,2.0,887.0,1,1,277,1.0,0.0,0.0,0.0,2850.0
2,2.0,873.0,1,1,277,1.0,0.0,0.0,0.0,2850.0
3,2.0,1151.0,1,1,277,1.0,0.0,0.0,0.0,3800.0
2,2.0,2416.0,1,1,329,1.0,0.0,0.0,0.0,11200.0
1,1.0,1028.0,1,1,329,1.0,0.0,0.0,0.0,6400.0
1,1.0,1039.0,1,1,329,1.0,0.0,0.0,0.0,5000.0
2,2.0,900.0,1,1,329,1.0,0.0,0.0,0.0,3074.0
1,1.0,600.0,1,1,329,1.0,0.0,0.0,0.0,1805.0
2,2.0,800.0,1,1,329,1.0,0.0,0.0,0.0,2805.0
1,1.0,600.0,1,1,329,1.0,0.0,0.0,0.0,2303.0
2,2.0,800.0,1,1,329,1.0,0.0,0.0,0.0,2779.0
1,1.0,600.0,1,1,329,1.0,0.0,0.0,0.0,2234.0
1,1.0,600.0,1,1,329,1.0,0.0,0.0,0.0,1871.0
2,2.0,800.0,1,1,329,1.0,0.0,0.0,0.0,2320.0
2,2.0,800.0,1,1,329,1.0,0.0,0.0,0.0,2316.0
2,2.0,800.0,1,1,329,1.0,0.0,0.0,0.0,2784.0
2,2.0,900.0,1,1,329,1.0,0.0,0.0,0.0,3000.0
1,1.0,600.0,1,1,329,1.0,0.0,0.0,0.0,2250.0
1,1.0,600.0,1,1,329,1.0,0.0,0.0,0.0,1875.0
1,1.0,600.0,1,1,329,1.0,0.0,0.0,0.0,2221.0
2,2.0,800.0,1,1,329,1.0,0.0,0.0,0.0,2325.0
2,2.0,900.0,1,1,329,1.0,0.0,0.0,0.0,2513.33
